iter	Passed	Remaining
0	145	145336
1	148	74052
2	150	49938
3	152	37900
4	154	30768
5	156	25971
6	158	22486
7	160	19842
8	161	17771
9	162	16111
10	164	14768
11	165	13654
12	167	12701
13	170	11989
14	172	11318
15	174	10704
16	175	10168
17	177	9675
18	178	9237
19	180	8834
20	181	8460
21	182	8118
22	184	7844
23	186	7581
24	187	7307
25	188	7052
26	189	6816
27	190	6598
28	190	6394
29	191	6203
30	192	6024
31	193	5854
32	194	5694
33	195	5543
34	195	5399
35	196	5263
36	197	5136
37	198	5015
38	199	4919
39	200	4812
40	201	4709
41	202	4609
42	202	4513
43	203	4422
44	204	4334
45	204	4250
46	205	4168
47	206	4089
48	206	4013
49	207	3941
50	208	3871
51	208	3803
52	209	3739
53	209	3676
54	210	3616
55	211	3558
56	211	3501
57	212	3446
58	212	3393
59	213	3345
60	214	3296
61	214	3250
62	215	3204
63	216	3159
64	216	3114
65	216	3070
66	217	3027
67	217	2986
68	218	2946
69	218	2907
70	219	2869
71	219	2832
72	220	2797
73	220	2762
74	221	2728
75	221	2695
76	222	2662
77	222	2630
78	223	2600
79	223	2570
80	224	2542
81	224	2514
82	224	2484
83	225	2457
84	225	2431
85	226	2405
86	226	2380
87	227	2356
88	228	2335
89	228	2314
90	229	2296
91	230	2274
92	231	2254
93	231	2233
94	232	2212
95	232	2191
96	233	2170
97	233	2150
98	234	2130
99	234	2112
100	235	2093
101	235	2074
102	236	2056
103	236	2038
104	237	2021
105	237	2003
106	238	1986
107	238	1969
108	238	1953
109	239	1937
110	239	1921
111	240	1905
112	240	1890
113	241	1875
114	241	1860
115	242	1845
116	242	1832
117	243	1821
118	244	1808
119	244	1795
120	245	1782
121	245	1769
122	246	1757
123	247	1745
124	247	1733
125	248	1723
126	248	1710
127	249	1698
128	249	1686
129	250	1674
130	250	1663
131	251	1651
132	251	1640
133	252	1629
134	252	1618
135	253	1607
136	253	1597
137	254	1586
138	254	1576
139	255	1567
140	255	1558
141	256	1547
142	256	1537
143	257	1529
144	258	1521
145	258	1513
146	259	1504
147	259	1496
148	260	1487
149	261	1479
150	262	1474
151	262	1466
152	264	1463
153	265	1458
154	265	1449
155	266	1441
156	266	1432
157	267	1424
158	267	1416
159	268	1408
160	268	1399
161	269	1391
162	269	1384
163	270	1376
164	270	1368
165	270	1361
166	271	1355
167	272	1350
168	273	1344
169	274	1337
170	274	1331
171	275	1324
172	275	1318
173	276	1311
174	276	1305
175	277	1299
176	278	1293
177	278	1287
178	279	1280
179	279	1273
180	280	1267
181	280	1260
182	281	1254
183	281	1248
184	281	1242
185	282	1235
186	283	1230
187	283	1225
188	284	1219
189	284	1213
190	285	1207
191	285	1201
192	285	1195
193	286	1191
194	287	1187
195	288	1182
196	288	1177
197	289	1172
198	290	1167
199	290	1162
200	291	1157
201	292	1154
202	292	1150
203	294	1148
204	294	1143
205	295	1138
206	295	1133
207	297	1130
208	298	1128
209	299	1124
210	299	1120
211	302	1123
212	302	1119
213	303	1114
214	304	1110
215	304	1105
